,New_ID,Year,Period,Value,Date
0,1, 2022, 06/01, true, 06/01/ 2022
1,2, 2022, 05/01, 292.296, 05/01/ 2022
2,3, 2022, 04/01, 289.109, 04/01/ 2022
3,4, 2022, 03/01, 287.504, 03/01/ 2022
4,5, 2022, 02/01, 283.716, 02/01/ 2022
5,6, 2022, 01/01, 281.148, 01/01/ 2022
6,7, 2021, 12/01, 278.802, 12/01/ 2021
7,8, 2021, 11/01, 277.948, 11/01/ 2021
8,9, 2021, 10/01, 276.589, 10/01/ 2021
9,10, 2021, 09/01, 274.310, 09/01/ 2021
10,11, 2021, 08/01, 273.567, 08/01/ 2021
11,12, 2021, 07/01, 273.003, 07/01/ 2021
12,13, 2021, 06/01, 271.696, 06/01/ 2021
13,14, 2021, 05/01, 269.195, 05/01/ 2021
14,15, 2021, 04/01, 267.054, 04/01/ 2021
15,16, 2021, 03/01, 264.877, 03/01/ 2021
16,17, 2021, 02/01, 263.014, 02/01/ 2021
17,18, 2021, 01/01, 261.582, 01/01/ 2021
18,19, 2020, 12/01, 260.474, 12/01/ 2020
19,20, 2020, 11/01, 260.229, 11/01/ 2020
20,21, 2020, 10/01, 260.388, 10/01/ 2020
21,22, 2020, 09/01, 260.280, 09/01/ 2020
22,23, 2020, 08/01, 259.918, 08/01/ 2020
23,24, 2020, 07/01, 259.101, 07/01/ 2020
24,25, 2020, 06/01, 257.797, 06/01/ 2020
25,26, 2020, 05/01, 256.394, 05/01/ 2020
26,27, 2020, 04/01, 256.389, 04/01/ 2020
27,28, 2020, 03/01, 258.115, 03/01/ 2020
28,29, 2020, 02/01, 258.678, 02/01/ 2020
29,30, 2020, 01/01, 257.971, 01/01/ 2020
30,31, 2019, 12/01, 256.974, 12/01/ 2019
31,32, 2019, 11/01, 257.208, 11/01/ 2019
32,33, 2019, 10/01, 257.346, 10/01/ 2019
33,34, 2019, 09/01, 256.759, 09/01/ 2019
34,35, 2019, 08/01, 256.558, 08/01/ 2019
35,36, 2019, 07/01, 256.571, 07/01/ 2019
36,37, 2019, 06/01, 256.143, 06/01/ 2019
37,38, 2019, 05/01, 256.092, 05/01/ 2019
38,39, 2019, 04/01, 255.548, 04/01/ 2019
39,40, 2019, 03/01, 254.202, 03/01/ 2019
40,41, 2019, 02/01, 252.776, 02/01/ 2019
41,42, 2019, 01/01, 251.712, 01/01/ 2019
42,43, 2018, 12/01, 251.233, 12/01/ 2018
43,44, 2018, 11/01, 252.038, 11/01/ 2018
44,45, 2018, 10/01, 252.885, 10/01/ 2018
45,46, 2018, 09/01, 252.439, 09/01/ 2018
46,47, 2018, 08/01, 252.146, 08/01/ 2018
47,48, 2018, 07/01, 252.006, 07/01/ 2018
48,49, 2018, 06/01, 251.989, 06/01/ 2018
49,50, 2018, 05/01, 251.588, 05/01/ 2018
50,51, 2018, 04/01, 250.546, 04/01/ 2018
51,52, 2018, 03/01, 249.554, 03/01/ 2018
52,53, 2018, 02/01, 248.991, 02/01/ 2018
53,54, 2018, 01/01, 247.867, 01/01/ 2018
54,55, 2017, 12/01, 246.524, 12/01/ 2017
55,56, 2017, 11/01, 246.669, 11/01/ 2017
56,57, 2017, 10/01, 246.663, 10/01/ 2017
57,58, 2017, 09/01, 246.819, 09/01/ 2017
58,59, 2017, 08/01, 245.519, 08/01/ 2017
59,60, 2017, 07/01, 244.786, 07/01/ 2017
60,61, 2017, 06/01, 244.955, 06/01/ 2017
61,62, 2017, 05/01, 244.733, 05/01/ 2017
62,63, 2017, 04/01, 244.524, 04/01/ 2017
63,64, 2017, 03/01, 243.801, 03/01/ 2017
64,65, 2017, 02/01, 243.603, 02/01/ 2017
65,66, 2017, 01/01, 242.839, 01/01/ 2017
66,67, 2016, 12/01, 241.432, 12/01/ 2016
67,68, 2016, 11/01, 241.353, 11/01/ 2016
68,69, 2016, 10/01, 241.729, 10/01/ 2016
69,70, 2016, 09/01, 241.428, 09/01/ 2016
70,71, 2016, 08/01, 240.849, 08/01/ 2016
71,72, 2016, 07/01, 240.628, 07/01/ 2016
72,73, 2016, 06/01, 241.018, 06/01/ 2016
73,74, 2016, 05/01, 240.229, 05/01/ 2016
74,75, 2016, 04/01, 239.261, 04/01/ 2016
75,76, 2016, 03/01, 238.132, 03/01/ 2016
76,77, 2016, 02/01, 237.111, 02/01/ 2016
77,78, 2016, 01/01, 236.916, 01/01/ 2016
78,79, 2015, 12/01, 236.525, 12/01/ 2015
79,80, 2015, 11/01, 237.336, 11/01/ 2015
80,81, 2015, 10/01, 237.838, 10/01/ 2015
81,82, 2015, 09/01, 237.945, 09/01/ 2015
82,83, 2015, 08/01, 238.316, 08/01/ 2015
83,84, 2015, 07/01, 238.654, 07/01/ 2015
84,85, 2015, 06/01, 238.638, 06/01/ 2015
85,86, 2015, 05/01, 237.805, 05/01/ 2015
86,87, 2015, 04/01, 236.599, 04/01/ 2015
87,88, 2015, 03/01, 236.119, 03/01/ 2015
88,89, 2015, 02/01, 234.722, 02/01/ 2015
89,90, 2015, 01/01, 233.707, 01/01/ 2015
90,91, 2014, 12/01, 234.812, 12/01/ 2014
91,92, 2014, 11/01, 236.151, 11/01/ 2014
92,93, 2014, 10/01, 237.433, 10/01/ 2014
93,94, 2014, 09/01, 238.031, 09/01/ 2014
94,95, 2014, 08/01, 237.852, 08/01/ 2014
95,96, 2014, 07/01, 238.250, 07/01/ 2014
96,97, 2014, 06/01, 238.343, 06/01/ 2014
97,98, 2014, 05/01, 237.900, 05/01/ 2014
98,99, 2014, 04/01, 237.072, 04/01/ 2014
99,100, 2014, 03/01, 236.293, 03/01/ 2014
100,101, 2014, 02/01, 234.781, 02/01/ 2014
101,102, 2014, 01/01, 233.916, 01/01/ 2014
102,103, 2013, 12/01, 233.049, 12/01/ 2013
103,104, 2013, 11/01, 233.069, 11/01/ 2013
104,105, 2013, 10/01, 233.546, 10/01/ 2013
105,106, 2013, 09/01, 234.149, 09/01/ 2013
106,107, 2013, 08/01, 233.877, 08/01/ 2013
107,108, 2013, 07/01, 233.596, 07/01/ 2013
108,109, 2013, 06/01, 233.504, 06/01/ 2013
109,110, 2013, 05/01, 232.945, 05/01/ 2013
110,111, 2013, 04/01, 232.531, 04/01/ 2013
111,112, 2013, 03/01, 232.773, 03/01/ 2013
112,113, 2013, 02/01, 232.166, 02/01/ 2013
113,114, 2013, 01/01, 230.280, 01/01/ 2013
114,115, 2012, 12/01, 229.601, 12/01/ 2012
115,116, 2012, 11/01, 230.221, 11/01/ 2012
116,117, 2012, 10/01, 231.317, 10/01/ 2012
117,118, 2012, 09/01, 231.407, 09/01/ 2012
118,119, 2012, 08/01, 230.379, 08/01/ 2012
119,120, 2012, 07/01, 229.104, 07/01/ 2012
120,121, 2012, 06/01, 229.478, 06/01/ 2012
121,122, 2012, 05/01, 229.815, 05/01/ 2012
122,123, 2012, 04/01, 230.085, 04/01/ 2012
123,124, 2012, 03/01, 229.392, 03/01/ 2012
124,125, 2012, 02/01, 227.663, 02/01/ 2012
125,126, 2012, 01/01, 226.665, 01/01/ 2012
126,127, 2011, 12/01, 225.672, 12/01/ 2011
127,128, 2011, 11/01, 226.230, 11/01/ 2011
128,129, 2011, 10/01, 226.421, 10/01/ 2011
129,130, 2011, 09/01, 226.889, 09/01/ 2011
130,131, 2011, 08/01, 226.545, 08/01/ 2011
131,132, 2011, 07/01, 225.922, 07/01/ 2011
132,133, 2011, 06/01, 225.722, 06/01/ 2011
133,134, 2011, 05/01, 225.964, 05/01/ 2011
134,135, 2011, 04/01, 224.906, 04/01/ 2011
135,136, 2011, 03/01, 223.467, 03/01/ 2011
136,137, 2011, 02/01, 221.309, 02/01/ 2011
137,138, 2011, 01/01, 220.223, 01/01/ 2011
