,New_ID,Year,Period,Value,Date
61,62, 2005, 11/01, 5.0, 11/01/ 2005
62,63, 2005, 10/01, 5.0, 10/01/ 2005
63,64, 2005, 09/01, 5.0, 09/01/ 2005
64,65, 2005, 08/01, 4.9, 08/01/ 2005
65,66, 2005, 07/01, 5.0, 07/01/ 2005
66,67, 2005, 06/01, 5.0, 06/01/ 2005
67,68, 2005, 05/01, 5.1, 05/01/ 2005
68,69, 2005, 04/01, 5.2, 04/01/ 2005
69,70, 2005, 03/01, 5.2, 03/01/ 2005
70,71, 2005, 02/01, 5.4, 02/01/ 2005
71,72, 2005, 01/01, 5.3, 01/01/ 2005
72,73, 2004, 12/01, 5.4, 12/01/ 2004
73,74, 2004, 11/01, 5.4, 11/01/ 2004
74,75, 2004, 10/01, 5.5, 10/01/ 2004
75,76, 2004, 09/01, 5.4, 09/01/ 2004
76,77, 2004, 08/01, 5.4, 08/01/ 2004
77,78, 2004, 07/01, 5.5, 07/01/ 2004
78,79, 2004, 06/01, 5.6, 06/01/ 2004
79,80, 2004, 05/01, 5.6, 05/01/ 2004
80,81, 2004, 04/01, 5.6, 04/01/ 2004
81,82, 2004, 03/01, 5.8, 03/01/ 2004
82,83, 2004, 02/01, 5.6, 02/01/ 2004
83,84, 2004, 01/01, 5.7, 01/01/ 2004
84,85, 2003, 12/01, 5.7, 12/01/ 2003
85,86, 2003, 11/01, 5.8, 11/01/ 2003
86,87, 2003, 10/01, 6.0, 10/01/ 2003
87,88, 2003, 09/01, 6.1, 09/01/ 2003
88,89, 2003, 08/01, 6.1, 08/01/ 2003
89,90, 2003, 07/01, 6.2, 07/01/ 2003
90,91, 2003, 06/01, 6.3, 06/01/ 2003
91,92, 2003, 05/01, 6.1, 05/01/ 2003
92,93, 2003, 04/01, 6.0, 04/01/ 2003
93,94, 2003, 03/01, 5.9, 03/01/ 2003
94,95, 2003, 02/01, 5.9, 02/01/ 2003
95,96, 2003, 01/01, 5.8, 01/01/ 2003
96,97, 2002, 12/01, 6.0, 12/01/ 2002
97,98, 2002, 11/01, 5.9, 11/01/ 2002
98,99, 2002, 10/01, 5.7, 10/01/ 2002
99,100, 2002, 09/01, 5.7, 09/01/ 2002
100,101, 2002, 08/01, 5.7, 08/01/ 2002
101,102, 2002, 07/01, 5.8, 07/01/ 2002
102,103, 2002, 06/01, 5.8, 06/01/ 2002
103,104, 2002, 05/01, 5.8, 05/01/ 2002
104,105, 2002, 04/01, 5.9, 04/01/ 2002
105,106, 2002, 03/01, 5.7, 03/01/ 2002
106,107, 2002, 02/01, 5.7, 02/01/ 2002
107,108, 2002, 01/01, 5.7, 01/01/ 2002
108,109, 2001, 12/01, 5.7, 12/01/ 2001
109,110, 2001, 11/01, 5.5, 11/01/ 2001
110,111, 2001, 10/01, 5.3, 10/01/ 2001
111,112, 2001, 09/01, 5.0, 09/01/ 2001
112,113, 2001, 08/01, 4.9, 08/01/ 2001
113,114, 2001, 07/01, 4.6, 07/01/ 2001
114,115, 2001, 06/01, 4.5, 06/01/ 2001
115,116, 2001, 05/01, 4.3, 05/01/ 2001
116,117, 2001, 04/01, 4.4, 04/01/ 2001
117,118, 2001, 03/01, 4.3, 03/01/ 2001
118,119, 2001, 02/01, 4.2, 02/01/ 2001
119,120, 2001, 01/01, 4.2, 01/01/ 2001
