,New_ID,Year,Period,Value,Date
0,1, 2000, 12/01, 3.9, 12/01/ 2000
1,2, 2000, 11/01, 3.9, 11/01/ 2000
2,3, 2000, 10/01, 3.9, 10/01/ 2000
3,4, 2000, 09/01, 3.9, 09/01/ 2000
4,5, 2000, 08/01, 4.1, 08/01/ 2000
5,6, 2000, 07/01, 4.0, 07/01/ 2000
6,7, 2000, 06/01, 4.0, 06/01/ 2000
7,8, 2000, 05/01, 4.0, 05/01/ 2000
8,9, 2000, 04/01, 3.8, 04/01/ 2000
9,10, 2000, 03/01, 4.0, 03/01/ 2000
10,11, 2000, 02/01, 4.1, 02/01/ 2000
11,12, 2000, 01/01, 4.0, 01/01/ 2000
12,13, 1999, 12/01, 4.0, 12/01/ 1999
13,14, 1999, 11/01, 4.1, 11/01/ 1999
14,15, 1999, 10/01, 4.1, 10/01/ 1999
15,16, 1999, 09/01, 4.2, 09/01/ 1999
16,17, 1999, 08/01, 4.2, 08/01/ 1999
17,18, 1999, 07/01, 4.3, 07/01/ 1999
18,19, 1999, 06/01, 4.3, 06/01/ 1999
19,20, 1999, 05/01, 4.2, 05/01/ 1999
20,21, 1999, 04/01, 4.3, 04/01/ 1999
21,22, 1999, 03/01, 4.2, 03/01/ 1999
22,23, 1999, 02/01, 4.4, 02/01/ 1999
23,24, 1999, 01/01, 4.3, 01/01/ 1999
24,25, 1998, 12/01, 4.4, 12/01/ 1998
25,26, 1998, 11/01, 4.4, 11/01/ 1998
26,27, 1998, 10/01, 4.5, 10/01/ 1998
27,28, 1998, 09/01, 4.6, 09/01/ 1998
28,29, 1998, 08/01, 4.5, 08/01/ 1998
29,30, 1998, 07/01, 4.5, 07/01/ 1998
30,31, 1998, 06/01, 4.5, 06/01/ 1998
31,32, 1998, 05/01, 4.4, 05/01/ 1998
32,33, 1998, 04/01, 4.3, 04/01/ 1998
33,34, 1998, 03/01, 4.7, 03/01/ 1998
34,35, 1998, 02/01, 4.6, 02/01/ 1998
35,36, 1998, 01/01, 4.6, 01/01/ 1998
36,37, 1997, 12/01, 4.7, 12/01/ 1997
37,38, 1997, 11/01, 4.6, 11/01/ 1997
38,39, 1997, 10/01, 4.7, 10/01/ 1997
39,40, 1997, 09/01, 4.9, 09/01/ 1997
40,41, 1997, 08/01, 4.8, 08/01/ 1997
41,42, 1997, 07/01, 4.9, 07/01/ 1997
42,43, 1997, 06/01, 5.0, 06/01/ 1997
43,44, 1997, 05/01, 4.9, 05/01/ 1997
44,45, 1997, 04/01, 5.1, 04/01/ 1997
45,46, 1997, 03/01, 5.2, 03/01/ 1997
46,47, 1997, 02/01, 5.2, 02/01/ 1997
47,48, 1997, 01/01, 5.3, 01/01/ 1997
48,49, 1996, 12/01, 5.4, 12/01/ 1996
49,50, 1996, 11/01, 5.4, 11/01/ 1996
50,51, 1996, 10/01, 5.2, 10/01/ 1996
51,52, 1996, 09/01, 5.2, 09/01/ 1996
52,53, 1996, 08/01, 5.1, 08/01/ 1996
53,54, 1996, 07/01, 5.5, 07/01/ 1996
54,55, 1996, 06/01, 5.3, 06/01/ 1996
55,56, 1996, 05/01, 5.6, 05/01/ 1996
56,57, 1996, 04/01, 5.6, 04/01/ 1996
57,58, 1996, 03/01, 5.5, 03/01/ 1996
58,59, 1996, 02/01, 5.5, 02/01/ 1996
59,60, 1996, 01/01, 5.6, 01/01/ 1996
60,61, 1995, 12/01, 5.6, 12/01/ 1995
61,62, 1995, 11/01, 5.6, 11/01/ 1995
62,63, 1995, 10/01, 5.5, 10/01/ 1995
63,64, 1995, 09/01, 5.6, 09/01/ 1995
64,65, 1995, 08/01, 5.7, 08/01/ 1995
65,66, 1995, 07/01, 5.7, 07/01/ 1995
66,67, 1995, 06/01, 5.6, 06/01/ 1995
67,68, 1995, 05/01, 5.6, 05/01/ 1995
68,69, 1995, 04/01, 5.8, 04/01/ 1995
69,70, 1995, 03/01, 5.4, 03/01/ 1995
70,71, 1995, 02/01, 5.4, 02/01/ 1995
71,72, 1995, 01/01, 5.6, 01/01/ 1995
72,73, 1994, 12/01, 5.5, 12/01/ 1994
73,74, 1994, 11/01, 5.6, 11/01/ 1994
74,75, 1994, 10/01, 5.8, 10/01/ 1994
75,76, 1994, 09/01, 5.9, 09/01/ 1994
76,77, 1994, 08/01, 6.0, 08/01/ 1994
77,78, 1994, 07/01, 6.1, 07/01/ 1994
78,79, 1994, 06/01, 6.1, 06/01/ 1994
79,80, 1994, 05/01, 6.1, 05/01/ 1994
80,81, 1994, 04/01, 6.4, 04/01/ 1994
81,82, 1994, 03/01, 6.5, 03/01/ 1994
82,83, 1994, 02/01, 6.6, 02/01/ 1994
83,84, 1994, 01/01, 6.6, 01/01/ 1994
